breed,birthBWMale,matureBWMale,birthBWFemale,matureBWFemale,mypday,fat,prot
Amritmahal,20.8,500,19.9,318,3,5.7,3.45
Bachaur,19.7,270,18.8,243,4.7,5,3.13
Badri,17.7,257,16.2,231,3,4,3.48
Bargur,18.9,340,18.1,350,3,4.08,3.25
Belahi,17.6,305,15.2,267,3.45,5.25,3.45
Binjharpuri,19.42,254.71,17.83,207.05,3.6,4.4,3.15
Dagri,16.75,224,13,170,1.75,4.08,3.3
Dangi,18.2,317,16.8,228,2.5,4.3,3.35
Deoni,23,590,23.4,340,3,4.5,3.44
Gangatiri,21,340,20.5,235,6,4.9,3.48
Gaolao,22.4,430,18.23,340,3.5,4.32,3.41
Ghumusari,14.82,208.5,13.83,166.8,2.5,5,3.35
Gir,0,544,0,310,12,4.9,3.15
Hallikar,21.3,340,20.2,227,3,5.7,3.22
Hariana,23.3,499,21.7,325,7,4.8,3.34
Himachali Pahari,14.4,227,13.9,186,3,4.68,3.48
kangayam,22,540,21,380,3.5,4.1,3.3
Kankrej,0,525,0,343,12,4.8,3.4
Kathani,11.94,259.57,11.06,186.62,0.55,4.5,3.25
Kenkatha,19.2,350,18.9,300,3,4.8,3.35
Khariar,12.2,195.6,11.23,156.2,1.8,5,3.35
kherigarh,20.7,476,19.9,318,2.5,4.5,3.3
Khillar,25.35,271,21.9,219,2.5,4.22,3.38
Konkan kapila,14.74,240,13.55,225,2.23,4.6,3.22
Kosali,14.5,260,13.2,160,1.5,4.32,3.15
Krishna valley,0,550,0,325,4.5,5,3.4
Ladakhi,0,0,0,0,5,5,3.5
Lakhimi,15.46,240,14.67,185,2,5.3,3.25
Malnad Gidda,0,0,8.56,0,2.11,5,3.22
Malvi,21,499,19,340,3.5,4.3,3.42
Masilum,,,,,,,
Mewati,0,385,0,325,3.5,4.5,3.35
Motu,12.23,171.9,11.45,137.3,1,5.3,3.22
Nagori,17.5,363,16.3,318,2.1,5.8,3.4
Nari,0,366,0,258,9,4.64,3.4
Nimari,19.9,390,18.7,339,4.5,4.9,3.38
Ongole,28,434,26,382,6.5,4.32,3.41
Poda Thurpu,18.76,255,17.86,208,2.5,3.9,3.18
Ponwar,18.5,318,17.6,295,2,4.5,3.3
Pulikulam,0,259,0,208,1.25,5.2,3.3
Punganur,12.8,240,11.4,170,2.25,5,3.36
Purnea,0,202,0,176,1.25,4.22,3.22
Rathi,19.1,0,18.9,295,10,5.3,3.42
Red Kandhari,20.4,430,18.7,340,4,4.57,3.34
Red Sindhi,22.5,450,21.4,320,8,4.5,3.35
Sahiwal,22.4,540,20.7,327,12,5.2,3.42
Sanchori,0,452.92,0,332.84,6.07,4.04,3.45
Shweta Kapila,11.5,383,9.7,277,2.8,5.21,3.25
Siri,21.2,454,19.2,363,6,4.9,3.4
Tharparkar,23.1,475,22.4,295,9.5,4.72,3.34
Thutho,15.6,320,14.8,280,1.5,7.5,8.55
Umblachery,15.6,297,14.2,219,2.5,4.94,3.32
Vechur,11.2,178,10.2,132,3,5.8,3.7
