Ingredient,DM,CP,EE,CF,NFE,Ash,NDF,ADF,Lignin
Maize_Grain,86.3,9,4.2,2,81.6,2,15.6,3.5,1
Sorghum_Grain,87.4,8.7,2.5,3,81.6,2.8,10.9,5.9,1.1
Barley_Grain,87.1,12,2.5,5.9,79,2.5,20,7,2
OatsHulls_MillFeed,90.3,11,4.4,15.5,63.3,5,13.8,5,2.9
Rice_Hull,91.9,9,1.5,10.1,72.5,8.4,12.5,4.3,1.5
Bajra_Grain,89.6,12,3.5,2,78.4,4.9,15.3,5.3,2.5
Black_gram,88.4,29,1,5.3,62.1,5.6,17,2,7
Whole_Cottonseed,92.3,22,17.3,18,40,3.7,48,42.7,17.45
Wheat_bran,87.0,16,2.2,15,59.9,8.4,64,14.5,3.6
Rice_bran_deoiled,89.0,17,1.5,18,48.1,18.2,38.2,11.9,4.3
Brewers_grain,91.0,25.4,6.5,14.9,48.4,4.8,44,23,5.5
