Ingredient	Ca (%)	P (%)	Mg (%)	K (%)	Na (%)	Cl (%)	S (%)	Co (ppm)	Cu (ppm)	I (ppm)	Fe (ppm)	Mn (ppm)	Se (ppm)	Zn (ppm)	Mo (ppm)
Maize	0.02	0.35	0.12	0.42	0.02	0.08	0.1	-	1	-	59	7	0.07	21	0.7
Sorghum	0.03	0.25	0.17	0.47	0.01	0.06	0.11	-	10	-	284	44	-	34	2.3
Wheat	0.03	0.28	0.15	0.5	0.01	0.01	0.15	-	5	-	72	42	0.28	40	1.3
Barley	0.05	0.38	0.14	0.56	0.02	0.13	0.12	0.35	6	-	70	22	0.11	38	1.1
Oats	0.07	0.3	0.16	0.52	0.03	-	0.19	0.06	8	-	106	43	0.48	41	1.7
Rice	0.02	0.28	0.1	0.25	0.01	-	0.1	0.13	13.79	-	655.8	39.45	0.07	24.46	0.41
Rye	0.07	0.37	0.14	0.52	0.03	0.03	0.17	-	8	-	69	66	0.44	36	-
Bajra	0.08	0.38	0.59	0.97	0.1	-	0.19	0.31	6.07	-	234.7	33.35	0.19	28.78	0.54
Wheat bran	0.17	0.93	0.53	1.32	0.04	0.16	0.21	-	11	-	157	122	0.5	85	2.5
Wheat middlings	0.16	1.02	0.42	1.38	0.03	0.1	0.18	-	10	-	158	125	0.46	91	2.5
Rice bran	0.07	1.33	0.81	1.57	0.03	0.09	0.19	-	10	-	239	186	0.17	71	2.8
Rice polish	0.07	1.58	0.42	0.81	0.01	-	0.13	0.52	10.68	-	543.7	118.46	0.28	38.26	0.47
Brewer's grain	0.3	0.67	0.26	0.5	0.04	0.07	0.38	-	11	-	224	45	1.06	85	3.2
Distiller's grain	0.11	0.43	0.07	0.18	0.1	0.08	0.1	0.46	0.09	48	0.05	223	23	0.48	35
Distiller's soluble	0.22	0.83	0.33	1.1	0.3	0.26	0.44	-	8	-	178	27	0.39	65	1.9
Cane molasses	0.4	0.23	0.42	4.01	0.22	-	0.47	-	66	-	263	59	-	21	1.6
Beet molasses	0.15	0.03	0.29	6.06	1.48	-	0.6	-	22	-	87	66	-	18	0.5
Citrus molasses	1.92	0.12	0.12	1.1	0.06	0.08	0.1	-	8	-	151	9	-	11	0.9
Turnip	0.59	0.26	0.22	2.99	1.05	0.65	0.43	-	21	-	118	43	-	-	-
Sugar beet	0.91	0.09	0.23	0.96	0.31	0.18	0.3	-	11	-	642	62	0.14	22	1.5
Cassava	0.28	0.19	-	0.26	-	-	-	-	-	-	9	20	-	-	-
Potato	0.49	0.29	0.11	1.04	0.26	0.19	0.11	-	11	-	1006	26	-	25	1.6
Carrot	0.27	0.27	0.2	2.8	1.04	0.5	0.17	-	10	-	120	31	-	-	-
Soybean meal	0.22	0.63	0.3	2.12	0.04	0.1	0.34	-	17	0.12	169	39	-	72	3.8
