breed,fat,mypday,matureBWFemale
Sahiwal,4.5,12.0,480.0
Gir,4.6,12.5,450.0
Rathi,4.2,9.0,420.0
Red Sindhi,4.5,11.0,430.0
Kankrej,4.0,9.5,520.0
Tharparkar,4.4,10.0,440.0
Ongole,3.9,7.5,500.0
Deoni,4.3,8.5,460.0
Hariana,4.4,8.0,450.0
Krishna Valley,4.0,7.0,480.0
Hallikar,4.0,6.0,400.0
Amritmahal,4.0,5.5,390.0
Khillari,4.0,5.0,420.0
Kangayam,4.1,6.5,410.0
Bargur,4.2,5.5,360.0
Umblachery,4.4,6.0,350.0
Pulikulam,4.2,5.0,340.0
Vechur,5.0,4.0,200.0
Malnad Gidda,5.1,4.5,220.0
Punganur,5.0,4.0,210.0
Kasargod,4.9,4.2,215.0
Holstein Friesian,3.7,26.0,650.0
Jersey,4.9,16.0,430.0
Brown Swiss,4.0,18.0,600.0
Ayrshire,4.0,17.0,550.0
Guernsey,4.7,15.0,480.0
HF Crossbred,3.9,18.0,520.0
Jersey Crossbred,4.6,14.0,440.0
Murrah,7.0,14.0,550.0
Nili Ravi,6.8,13.0,530.0
Jaffarabadi,7.5,15.0,600.0
Bhadawari,8.5,10.0,450.0
Mehsana,7.0,12.5,520.0
Surti,7.5,11.0,460.0
Pandharpuri,6.8,10.5,450.0
Toda,8.0,8.0,420.0
Default Cattle,4.2,10.0,450.0
