Feed,DM,CP,EE,CF,NFE,Ash,NDF,ADF,Lignin
Wheat Bran,88.0,14.5,3.5,11.0,64.0,7.0,42.0,14.0,3.5
Maize Grain Crushed,88.0,9.5,4.0,2.5,82.0,2.0,11.0,3.5,1.0
Soybean Meal,90.0,48.0,1.8,6.0,37.0,7.2,14.0,9.0,1.8
Cottonseed Cake,91.0,22.0,7.5,22.0,42.0,6.5,46.0,32.0,6.5
Mustard Cake,90.0,36.0,8.0,10.0,38.0,8.0,26.0,18.0,4.8
Groundnut Cake,92.0,45.0,7.0,7.5,33.5,7.0,18.0,12.0,3.0
Commercial Dairy Pellets,89.0,20.0,3.5,12.0,56.5,8.0,32.0,16.0,3.5
Rice Bran,90.0,12.5,13.0,12.0,50.5,12.0,35.0,18.0,4.0
Oats Grain,89.0,12.0,4.8,11.0,68.0,4.2,30.0,14.0,2.8
Barley Grain,88.0,11.5,2.0,5.5,77.0,4.0,19.0,7.0,2.0
Default Concentrate,89.0,20.0,3.5,10.0,58.5,8.0,30.0,15.0,3.0
