Feed,DM,CP,EE,CF,NFE,Ash,NDF,ADF,Lignin
Maize Fodder,22.0,8.5,2.0,28.0,52.0,9.5,58.0,32.0,4.5
Napier Grass,20.0,9.0,2.2,30.0,47.0,11.8,62.0,36.0,5.5
Sorghum Fodder,25.0,7.5,1.8,32.0,50.0,8.7,60.0,35.0,5.0
Lucerne (Alfalfa),20.0,19.5,2.5,24.0,42.0,12.0,42.0,28.0,6.5
Rice Grass,22.0,7.0,1.5,31.0,48.0,12.5,64.0,38.0,5.2
Wheat Straw (Bhoosa),90.0,3.5,1.2,38.0,46.0,11.3,78.0,52.0,9.5
Paddy Straw,88.0,3.8,1.1,36.0,44.0,15.1,74.0,50.0,8.2
Groundnut Haulm,85.0,13.5,2.0,26.0,47.0,11.5,52.0,36.0,7.0
Green Grass,22.0,8.0,2.0,29.0,49.0,12.0,60.0,35.0,5.0
Hay,88.0,7.5,1.8,32.0,48.0,10.7,65.0,40.0,6.8
Silage,32.0,8.5,2.5,26.0,54.0,9.0,52.0,30.0,4.2
Sorghum Stover (Kadbi),88.0,4.5,1.2,35.0,48.0,11.3,70.0,44.0,7.5
Berseem (Egyptian Clover),15.0,18.5,2.5,22.0,44.0,13.0,44.0,30.0,6.0
Sugarcane Tops,26.0,5.5,1.5,32.0,50.0,11.0,68.0,42.0,6.5
Oat Fodder,20.0,10.5,2.5,28.0,47.0,12.0,55.0,33.0,4.8
Default Roughage,25.0,8.0,2.0,30.0,50.0,10.0,60.0,35.0,5.0
