Ingredients,DM,CP,EE,CF,NFE,Ash,NDF,ADF
Sorghum,93.7,7,1.2,38.9,47.1,8.5,56.5,40.3
Wheat,91.0,3.5,1,41.5,43,11,72.3,43.5
Maize,91.5,3.6,0.8,33.2,51.9,10.5,62.2,37.4
Oats,87.9,5.6,1.7,35.9,48.5,8.3,58,36.4
Cowpea,92.5,15,1.1,34.8,35.5,13.3,54,48
Peanut,91.2,10.8,3.4,33.2,44,8.6,45,36
Rice,85.0,8.2,1,32,43.1,15.7,71.7,48.7
Soybean,91.5,15,1.3,29.1,42.6,12,59,42.8
Rice grass,34.6,6.3,1.5,31.4,45.9,14.9,66.2,36.2
Ragi,93.1,3.4,1.1,33,51.2,11,61.5,49.5
Peanut,19.8,15,2.9,27.6,43.7,10.8,64.4,54.3
Motchai,91.2,16.5,13.1,25.9,34.5,10,44.6,34
