Unconventional_feeds,CP,EE,CF,NFE,Ash,ME
Niger_seed_cake_Guizotia_abyssinica,34,1.2,22.3,30.4,12,1.8
Rubber_seed_cake_Hevea_brasiliensis,35,12.1,7.1,34.8,10.5,2.4
Sun_hemp_seeds_Crotalaria_juncea,40.3,1.4,10,42.7,5.6,2.5
Dhaincha_seeds_Sesbania_bispinosa,32.7,2.9,10.7,48.7,5,0.0
Corn_gluten_meal_Zea_mays,58,2,4.6,43.1,2.3,2.9
Ambadi_cake_Hibiscus_cannabinus,23.4,4.2,22.6,38.3,9.9,2.2
Guar_meal_Cyamopsis_tetragonoloba,50,5.2,7.2,35.9,8.8,2.9
Castor_bean_meal_Ricinus_communis,30,0.0,0.0,0.0,0.0,2
Pilludi_cake_Salvadora_oleoides,24,0.0,0.0,50,0.0,1.9
Subabul_seeds_Leucaena_leucocephala,29,7.5,11.4,40.9,4.4,2.3
Jowar_gluten_Sorghum_vulgare,39,0.0,0.0,0.0,0.0,2.3
Jowar_cake,10,6.6,12.1,69.5,0.0,2.4
Corn_steep_liquor,52,2.7,0.0,26,0.0,2.7
Isabgol_lali_Plantago_ovata,32.2,21.3,1,28.1,0.0,0.0
Tamarind_seed_powder_Tamarindus_indica,12,7.4,26.4,44.4,3.5,2.3
Mango_seed_kernels_Mangifera_indica,6,8.9,2.8,74.4,5.4,2
Rain_tree_pods_Samanea_saman,16.7,0.7,14.5,69.6,2.4,2.3
Kusum_cake_Schleichera_oleosa,20.9,7.4,9,56.9,5.8,2.8
Cocoa_pods_Theobroma_cacao,6.3,0.5,24,61.4,7.8,2.2
Vilayati_Babul_pods_Prosopis_juliflora,12,3,27.7,50.6,4.8,2.3
Damaged_apple_waste_Malus_domestica,12,0.0,0.0,0.0,0.0,2.2
Tapioca_starch_waste,12,0.6,26.9,66.9,3.4,2.2
Tapioca_milk_residue,3.5,3.5,2.5,0.0,0.0,0.0
Seaweed_meal_Sargassum_spp.,10,0.8,10.3,48,0.0,0.0
Babul_pods_Acacia_nilotica,12,2.3,12.3,67,5.3,2
Babul_seed_chuni,16,0.0,0.0,39.5,0.0,2
Jack_fruit_waste_Artocarpus_heterophyllus,7.7,0.0,14.1,65.3,0.0,0.72
Sugarcane_bagasse_Saccharum_officinarum,3.5,0.3,50.1,46.1,2.5,1.3
Sugarcane_bagasse_pith,1.7,1.5,45.1,49.2,2.5,0.0
Sugarcane_tops,3.2,1.7,33.5,50.3,8.5,1.6
Panewr_seeds_Cassia_tora,16,7.4,4.6,60.7,9.1,2
Warai_bran_Panicum_miliaceum,6.2,4.8,18.7,0.0,0.0,2
Tea_waste_Camellia_assamica,17.9,0.0,0.0,0.0,0.0,2
Tomato_waste_Lycopersicon_esculentum,15,18,0.0,40,0.0,2
Banana_root_bulbs_Musa_paradisiaca,12,2.8,47.2,42.2,0.0,1.8
Potato_waste_Solanum_tuberosum,7.6,7,4,0.0,4,0.0
Citrus_by-product_Citrus_Spp.,4.2,1.5,7,65,4,0.0
